State Name,pH,Conductivity,BOD (mg/L),Nitrate N (mg/L),Faecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Total Dissolved Solids (mg/L),Fluoride (mg/L)
,,,,,,,,
AP,7.3,776.1333333,2.05,8.825,3,69.5,782,0.6
AP,8.1,619.7,2.2,4.425,3.5,69.5,623,1.05
AP,7.8,759.2666667,1.9,2.24,4.5,84,764,0.4
AP,7.1,2535.7,2.9,23.25,5.5,93,2576,0.95
AP,8.1,2202.7,2.05,24.625,3.5,78,2242,0.45
AP,7.8,1362.933333,1.6,4.035,3,24.5,1214,0.7
AP,8,716.6666667,2.2,2.825,5.5,81.5,711,0.9
AP,7.6,7515.866667,2.35,8.8,8,135,7654,0.5
AP,7.1,1610.033333,1,6.85,3,11.5,1332.5,0.95
AP,7.1,2448.366667,1,10.9,4,17.5,2006,1
AP,8.1,1274.7,1.6,1.55,3,17.5,1164,0.85
AP,7.3,1540.1,1,6,3,9,1211,0.5
AP,7.3,4798.766667,1,6,2,8,4240.5,1.05
AP,7.6,701.2,1.5,3.22,3,93,680,0.7
AP,7.1,762.3666667,2.4,8,4,93,746,0.8
AP,7.3,6532.433333,2.1,6.305,3,25.5,6117,1.55
AP,7.8,1284.933333,1.6,0.5,3,30,1140,0.3
AP,7.6,588.2,2,0.945,5.5,84,600,0.65
AP,7.5,933.8333333,1,2,2.5,7,749,0.85
AP,7.3,766.7666667,1,2.3,2,6.5,612,0.45
AP,7.9,3396.966667,1,8.4,2.5,15.5,2969,1.55
AP,8.1,729.3666667,1.3,1.14,3,18,644,0.45
AP,7.9,1289.3,1.6,0.45,3,21.5,1135,0.35
AP,7.6,2572.533333,2.1,3.135,3,20.5,2329,0.9
AP,7.5,588.8333333,1.4,0.9,3,14.5,529,0.55
AP,8.1,3012.7,2.1,3.68,3,28,2815,0.5
AP,7.4,2056.466667,1,11.75,5.5,36.5,1687,0.9
AP,7.6,1200.2,2.2,10.65,3.5,75,1216,0.4
AP,7.9,1455.966667,2.15,7.35,4,84,1502,1.2
AP,7.7,816.5666667,2.1,2.84,4,75,816,0.65
AP,7.5,1521.5,2.9,6.95,7,106.5,1554,0.8
AP,7.9,772.6333333,1.85,2.185,6,75,786,0.65
AP,8.1,1255.033333,1.6,1.295,3,21.5,1128,0.55
AS,7.2,187.0666667,2.3,0.75,2,2,190,0.3
AS,7.5,213.5,2.05,0.8,2,2,176,0.3
AS,7.6,254.5333333,2.3,0.85,2,2,210,0.3
AS,7.1,222.3666667,2.4,1.25,2,2,201,0.25
AS,7.2,207.7333333,2.3,0.8,#DIV/0!,#DIV/0!,176,0.3
AS,7.6,272.2,2.4,0.9,2,2,221,0.3
AS,7.3,193.1,2.4,0.75,2,2,163,0.3
AS,7.8,237.9333333,2.3,0.9,2,2,197,0.35
AS,7.4,164.8,2.15,0.85,2,2,142,0.3
AS,7.7,212.5666667,2,0.9,#DIV/0!,#DIV/0!,178,0.3
AS,7.8,178.6,2,0.9,2,2,146,0.3
AS,8,171.6666667,2.2,1,2,2,144,0.3
AS,7.6,213.5333333,2.1,0.8,2,2,175,0.3
AS,7.7,217.9,2.05,0.85,2,2,183,0.3
AS,7.8,175.9333333,2.25,0.8,2,2,148,0.3
AS,8,247.6666667,2.3,0.8,2,2,203,0.3
AS,7.4,174.1333333,2,0.85,2,2,147,0.3
AS,7.4,223.8,2.5,0.95,2,2,186,0.25
AS,7,210.3333333,2.2,0.9,#DIV/0!,#DIV/0!,180,0.3
AS,7.7,219.5666667,2.4,0.85,2,2,183,0.3
AS,7.2,170.0666667,2.1,0.85,2,2,144,0.3
AS,7.5,229.8333333,2.2,0.95,2,2,188,0.3
AS,7.4,179.8,2.5,1,2,2,151,0.3
AS,7.3,216.1,2,0.7,2,2,178,0.35
AS,7.2,169.0666667,2.15,0.7,2,2,146,0.3
AS,7.3,187.1,2.15,0.85,2,2,158,0.3
AS,7.3,212.1,2.15,0.8,2,2,178,0.3
AS,7.8,243.6,2.1,0.9,2,2,202,0.3
AS,8,169,2.25,0.65,2,2,143,0.4
AS,7.5,152.5,1.95,0.8,2,2,131,0.3
AS,7.2,219.0666667,2.3,0.9,2,2,179,0.3
AS,7.6,140.2,2.1,0.85,2,2,122,0.3
AS,7.5,207.1666667,2,0.7,#DIV/0!,#DIV/0!,172,0.3
AS,7.3,160.4333333,2.2,0.85,2,2,136,0.3
AS,7.2,223.0666667,2.35,0.75,2,2,182,0.3
AS,7.7,221.9,2.1,1,2,2,185,0.3
AS,7.3,211.1,2.1,0.75,2,2,175,0.3
AS,7.9,186.9666667,2.45,0.9,2,2,156,0.45
AS,7,203,2.3,0.8,2,2,169,0.3
AS,7.2,243.4,2.2,0.8,2,2,200,0.3
AS,7.2,211.7333333,2.1,0.7,2,2,174,0.3
AS,7.2,221.0666667,2.2,0.8,#DIV/0!,#DIV/0!,186,0.3
AS,7.4,177.1333333,2.15,0.95,2,2,152,0.3
AS,7.6,215.8666667,1.85,0.75,2,2,178,0.3
AS,7.1,167.0333333,2.3,0.8,#DIV/0!,#DIV/0!,144,0.3
AS,7.3,175.7666667,2.2,0.7,#DIV/0!,#DIV/0!,150,0.3
AS,7.4,132.4666667,2.1,0.9,2,2,114,0.3
AS,7.4,155.1333333,2.25,0.95,2,2,132.5,0.3
AS,7.9,277.3,2.4,0.9,2,2,230,0.3
AS,7.7,182.5666667,2.25,0.8,2,2,156,0.3
AS,7.3,177.7666667,2.2,0.7,2,2,150,0.3
AS,7.6,205.8666667,2.25,0.8,2,2,170,0.45
AS,7.4,229.1333333,2.35,0.95,2,2,188,0.3
AS,6.9,159.3,2.2,0.75,2,2,135,0.3
AS,7.2,139.0666667,2.1,0.8,#DIV/0!,#DIV/0!,120,0.3
AS,8,263.3333333,2.5,1.25,2,2,216,0.5
AS,7.2,193.4,2.1,0.75,2,2,163,0.3
AS,7.4,179.1333333,2.4,0.9,#DIV/0!,#DIV/0!,154,0.3
AS,7.5,63.16666667,2,0.6,#DIV/0!,#DIV/0!,62,0.3
AS,7.6,247.2,2.35,0.8,2,2,204,0.3
AS,7,236.6666667,2.3,0.9,2,2,206,0.3
AS,7.3,263.1,2.35,0.9,2,2,214,0.25
BH,7.3,620.4333333,#DIV/0!,2.79,#DIV/0!,#DIV/0!,594,0.2
BH,7.7,309.5666667,#DIV/0!,1.96,811.5,811.5,291,0.25
BH,7.5,298.5,#DIV/0!,1.91,#DIV/0!,#DIV/0!,291,0.25
BH,7.6,308.8666667,#DIV/0!,1.565,462.5,464.5,310,0.25
BH,7.5,327.8333333,#DIV/0!,1.585,7,12.5,313,0.3
BH,7.5,429.8333333,#DIV/0!,2.58,7,16,416,0.2
BH,7,775.6666667,#DIV/0!,0.34,9,16,742,0.3
BH,7.6,199.8666667,#DIV/0!,2.39,#DIV/0!,#DIV/0!,192,0.2
BH,7.7,501.2333333,#DIV/0!,3.385,350,920,482,0.3
BH,7.6,232.5333333,#DIV/0!,0.3,#DIV/0!,#DIV/0!,218,0.2
BH,7.5,556.1666667,#DIV/0!,1.89,23,33,509,0.25
BH,7.7,554.5666667,#DIV/0!,0.3,23,23,544,0.2
BH,7.2,647.7333333,#DIV/0!,0.39,23,23,636,0.2
BH,7.9,257.9666667,#DIV/0!,0.3,23,23,250,0.2
BH,7.7,525.9,#DIV/0!,4.82,23,23,524,0.3
BH,7.4,161.1333333,#DIV/0!,1.12,23,23,156,0.2
BH,8,293,#DIV/0!,0.61,35000,35000,292,0.25
BH,7,587,#DIV/0!,0.3,#DIV/0!,#DIV/0!,574,0.2
BH,7.4,264.1333333,#DIV/0!,1.2,23,23,252,0.25
BH,8.1,646.0333333,#DIV/0!,2.095,33,49,629,0.25
BH,7.9,383.3,#DIV/0!,0.36,23,23,378,0.2
BH,7.2,518.4,#DIV/0!,1.37,#DIV/0!,#DIV/0!,500,0.2
BH,7.8,695.9333333,#DIV/0!,0.98,23,23,732,0.3
BH,7.9,157.3,#DIV/0!,0.3,23,23,154,0.2
BH,7.2,855.7333333,#DIV/0!,2.57,23,23,908,0.2
BH,7.5,742.5,#DIV/0!,4.37,23,23,780,0.2
BH,7.4,625.8,#DIV/0!,0.3,23,23,612,0.2
BH,7.9,181.9666667,#DIV/0!,0.3,23,23,172,0.2
BH,8.6,603.2,#DIV/0!,3.96,23,23,585,0.25
BH,8.3,554.4333333,#DIV/0!,1.25,177.5,273.5,551,0.25
BH,7,922.3333333,#DIV/0!,1.35,7,9,911,0.3
BH,7.2,477.7333333,#DIV/0!,1.84,#DIV/0!,#DIV/0!,467,0.25
BH,7.6,201.8666667,#DIV/0!,0.3,23,23,194,0.2
BH,7.9,197.6333333,#DIV/0!,2.995,23,23,193,0.2
BH,7.3,301.1,#DIV/0!,0.3,23,23,292,0.2
BH,6.9,832.3,#DIV/0!,0.3,16,76.5,810,0.25
BH,8,496.6666667,#DIV/0!,3.15,#DIV/0!,#DIV/0!,491,0.2
BH,7.7,306.2333333,#DIV/0!,1.805,12.5,12.5,304,0.25
BH,7.1,689.0333333,#DIV/0!,0.3,12,23,678,0.2
BH,7.1,878.0333333,#DIV/0!,2.56,23,23,865,0.2
BH,7.1,391.0333333,#DIV/0!,5.53,23,23,374,0.2
BH,7.6,611.8666667,#DIV/0!,1.825,14,14,599,0.2
BH,7.3,383.4333333,#DIV/0!,1.515,#DIV/0!,#DIV/0!,370,0.2
BH,7.1,1082.366667,#DIV/0!,1.62,23,23,1018,0.2
BH,8,301,#DIV/0!,2.68,#DIV/0!,#DIV/0!,287,0.2
BH,7.2,336.7333333,#DIV/0!,1.05,23,23,330,0.25
BH,7.4,343.1333333,#DIV/0!,2.285,5,6,377,0.25
BH,7.7,533.9,#DIV/0!,2.385,23,23,518,0.2
BH,8.1,237.3666667,#DIV/0!,0.3,7,7,228,0.2
BH,7.9,241.9666667,#DIV/0!,1.1,23,49,240,0.25
BH,7.3,772.7666667,#DIV/0!,3.775,23,23,769,0.25
BH,7.2,782.4,#DIV/0!,5.3,23,23,758,0.2
BH,7.1,889.0333333,#DIV/0!,2.85,23,23,898,0.2
BH,7.9,217.9666667,#DIV/0!,1.49,51,51,213,0.25
BH,7.2,173.7333333,#DIV/0!,0.3,#DIV/0!,#DIV/0!,172,0.2
BH,7.5,421.8333333,#DIV/0!,3.32,27,27,413,0.2
BH,8.6,430.5333333,#DIV/0!,2.51,5,7,428,0.2
BH,7.7,448.2333333,#DIV/0!,2.095,23,23,435,0.25
BH,7.9,524.9666667,#DIV/0!,2.575,23,12.5,266,0.2
BH,7.3,326.4333333,#DIV/0!,1.14,23,23,326,0.2
BH,7.1,962.3666667,#DIV/0!,2.59,#DIV/0!,#DIV/0!,1002,0.2
BH,7.8,631.9333333,#DIV/0!,5.34,23,23,648,0.2
BH,8.2,210.7333333,#DIV/0!,0.3,12,23,202,0.2
BH,8.7,322.9,#DIV/0!,5.12,#DIV/0!,#DIV/0!,322,0.2
BH,7,749,#DIV/0!,0.75,23,23,732,0.2
BH,7.2,547.7333333,#DIV/0!,1.67,#DIV/0!,#DIV/0!,550,0.2
BH,7.8,1389.266667,#DIV/0!,5.69,5,9,1476,0.2
BH,7.9,163.3,#DIV/0!,0.3,23,23,160,0.2
BH,7.9,492.6333333,#DIV/0!,0.88,7,9,482,0.2
CH,7.2,508.4,1.1,6.65,2,37,454,0.5
CH,7.3,538.4333333,1.1,3.55,2,56,497,0.2
CH,7.4,604.1333333,1.25,3,3.5,49,500,0.3
CH,7.3,354.1,1,5.65,2,37.5,343,0.2
CH,7.1,477.3666667,1.25,3.25,2,25,425,0.45
CH,7,566.3333333,1,3.6,2,50.5,442,0.25
CH,7.3,416.7666667,1,2.35,2,28.5,358,0.9
CT,7.3,1537.1,1,1.05,2,2,164,#DIV/0!
CT,7.2,16987.06667,1,0.74,2,2,270.5,#DIV/0!
CT,7.2,3267.733333,1,0.645,2,2,249,#DIV/0!
CT,7.5,254.5,#DIV/0!,0.3,#DIV/0!,#DIV/0!,310,#DIV/0!
CT,7.4,234.4666667,#DIV/0!,0.3,2,2,248,#DIV/0!
CT,7.5,173.1666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,191,#DIV/0!
CT,7.4,174.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,191.5,#DIV/0!
CT,7.5,7.5,6,0.6,#DIV/0!,#DIV/0!,150,#DIV/0!
